category,pair_id,layer,cosine_sim
safe-safe,9,8,0.97265625
safe-safe,9,9,0.9609375
safe-safe,9,10,0.96875
safe-safe,9,11,0.96875
safe-safe,9,12,0.9609375
safe-safe,9,13,0.96484375
safe-safe,9,14,0.9140625
safe-safe,9,15,0.87109375
safe-safe,9,16,0.84765625
safe-safe,9,17,0.87109375
safe-safe,9,18,0.90234375
safe-safe,9,19,0.92578125
safe-safe,9,20,0.9453125
safe-safe,9,21,0.93359375
safe-safe,9,22,0.94140625
safe-safe,9,23,0.953125
safe-safe,9,24,0.9609375
safe-safe,9,25,0.96484375
safe-safe,9,26,0.97265625
safe-safe,9,27,0.9765625
safe-safe,9,28,0.98046875
safe-safe,9,29,0.98046875
safe-safe,9,30,0.9765625
safe-safe,9,31,0.94140625
safe-safe,9,32,0.80078125
safe-safe,10,1,0.99609375
safe-safe,10,2,0.98828125
safe-safe,10,3,0.9921875
safe-safe,10,4,0.9765625
safe-safe,10,5,0.96875
safe-safe,10,6,0.98046875
safe-safe,10,7,0.96484375
safe-safe,10,8,0.9375
safe-safe,10,9,0.92578125
safe-safe,10,10,0.92578125
safe-safe,10,11,0.88671875
safe-safe,10,12,0.87109375
safe-safe,10,13,0.875
safe-safe,10,14,0.7734375
safe-safe,10,15,0.7109375
safe-safe,10,16,0.6796875
safe-safe,10,17,0.7265625
safe-safe,10,18,0.7890625
safe-safe,10,19,0.828125
safe-safe,10,20,0.8359375
safe-safe,10,21,0.859375
safe-safe,10,22,0.921875
safe-safe,10,23,0.91796875
safe-safe,10,24,0.92578125
safe-safe,10,25,0.93359375
safe-safe,10,26,0.953125
safe-safe,10,27,0.94921875
safe-safe,10,28,0.953125
safe-safe,10,29,0.953125
safe-safe,10,30,0.9453125
safe-safe,10,31,0.8671875
safe-safe,10,32,0.65625
safe-safe,11,1,0.98828125
safe-safe,11,2,0.9765625
safe-safe,11,3,0.9765625
safe-safe,11,4,0.96484375
safe-safe,11,5,0.953125
safe-safe,11,6,0.9609375
safe-safe,11,7,0.953125
safe-safe,11,8,0.9296875
safe-safe,11,9,0.9140625
safe-safe,11,10,0.91796875
safe-safe,11,11,0.91015625
safe-safe,11,12,0.91796875
safe-safe,11,13,0.91796875
safe-safe,11,14,0.8203125
safe-safe,11,15,0.78515625
safe-safe,11,16,0.71875
safe-safe,11,17,0.71875
safe-safe,11,18,0.78515625
safe-safe,11,19,0.80859375
safe-safe,11,20,0.8515625
safe-safe,11,21,0.84765625
safe-safe,11,22,0.87890625
safe-safe,11,23,0.88671875
safe-safe,11,24,0.89453125
safe-safe,11,25,0.91796875
safe-safe,11,26,0.9296875
safe-safe,11,27,0.94921875
safe-safe,11,28,0.953125
safe-safe,11,29,0.94140625
safe-safe,11,30,0.9375
safe-safe,11,31,0.90234375
safe-safe,11,32,0.6171875
safe-safe,12,1,0.99609375
safe-safe,12,2,0.9921875
safe-safe,12,3,0.9921875
safe-safe,12,4,0.984375
safe-safe,12,5,0.96875
safe-safe,12,6,0.98046875
safe-safe,12,7,0.9765625
safe-safe,12,8,0.95703125
safe-safe,12,9,0.9453125
safe-safe,12,10,0.94140625
safe-safe,12,11,0.9296875
safe-safe,12,12,0.9296875
safe-safe,12,13,0.91796875
safe-safe,12,14,0.87109375
safe-safe,12,15,0.81640625
safe-safe,12,16,0.7890625
safe-safe,12,17,0.7734375
safe-safe,12,18,0.8046875
safe-safe,12,19,0.8203125
safe-safe,12,20,0.82421875
safe-safe,12,21,0.80078125
safe-safe,12,22,0.859375
safe-safe,12,23,0.83984375
safe-safe,12,24,0.84765625
safe-safe,12,25,0.89453125
safe-safe,12,26,0.9140625
safe-safe,12,27,0.9296875
safe-safe,12,28,0.9296875
safe-safe,12,29,0.91796875
safe-safe,12,30,0.90625
safe-safe,12,31,0.8203125
safe-safe,12,32,0.609375
safe-safe,13,1,0.9921875
safe-safe,13,2,0.9765625
safe-safe,13,3,0.98046875
safe-safe,13,4,0.90234375
safe-safe,13,5,0.890625
safe-safe,13,6,0.92578125
safe-safe,13,7,0.90625
safe-safe,13,8,0.875
safe-safe,13,9,0.84375
safe-safe,13,10,0.765625
safe-safe,13,11,0.828125
safe-safe,13,12,0.8359375
safe-safe,13,13,0.83984375
safe-safe,13,14,0.70703125
safe-safe,13,15,0.56640625
safe-safe,13,16,0.609375
safe-safe,13,17,0.6171875
safe-safe,13,18,0.68359375
safe-safe,13,19,0.7109375
safe-safe,13,20,0.734375
safe-safe,13,21,0.7265625
safe-safe,13,22,0.8359375
safe-safe,13,23,0.8125
safe-safe,13,24,0.8671875
safe-safe,13,25,0.875
safe-safe,13,26,0.88671875
safe-safe,13,27,0.91015625
safe-safe,13,28,0.9140625
safe-safe,13,29,0.91796875
safe-safe,13,30,0.91015625
safe-safe,13,31,0.828125
safe-safe,13,32,0.57421875
safe-safe,14,1,0.984375
safe-safe,14,2,0.9765625
safe-safe,14,3,0.97265625
safe-safe,14,4,0.96484375
safe-safe,14,5,0.96875
safe-safe,14,6,0.97265625
safe-safe,14,7,0.96484375
safe-safe,14,8,0.94140625
safe-safe,14,9,0.93359375
safe-safe,14,10,0.91015625
safe-safe,14,11,0.91796875
safe-safe,14,12,0.9296875
safe-safe,14,13,0.91796875
safe-safe,14,14,0.84765625
safe-safe,14,15,0.8046875
safe-safe,14,16,0.78515625
safe-safe,14,17,0.75390625
safe-safe,14,18,0.78125
safe-safe,14,19,0.79296875
safe-safe,14,20,0.86328125
safe-safe,14,21,0.85546875
safe-safe,14,22,0.9140625
safe-safe,14,23,0.90234375
safe-safe,14,24,0.921875
safe-safe,14,25,0.94140625
safe-safe,14,26,0.9453125
safe-safe,14,27,0.96484375
safe-safe,14,28,0.96484375
safe-safe,14,29,0.95703125
safe-safe,14,30,0.953125
safe-safe,14,31,0.91796875
safe-safe,14,32,0.671875
safe-safe,15,1,0.9921875
safe-safe,15,2,0.984375
safe-safe,15,3,0.9765625
safe-safe,15,4,0.96875
safe-safe,15,5,0.96484375
safe-safe,15,6,0.96875
safe-safe,15,7,0.953125
safe-safe,15,8,0.921875
safe-safe,15,9,0.921875
safe-safe,15,10,0.91796875
safe-safe,15,11,0.8828125
safe-safe,15,12,0.88671875
safe-safe,15,13,0.86328125
safe-safe,15,14,0.75
safe-safe,15,15,0.73046875
safe-safe,15,16,0.66796875
safe-safe,15,17,0.7109375
safe-safe,15,18,0.7578125
safe-safe,15,19,0.76953125
safe-safe,15,20,0.80078125
safe-safe,15,21,0.7890625
safe-safe,15,22,0.83203125
safe-safe,15,23,0.82421875
safe-safe,15,24,0.86328125
safe-safe,15,25,0.89453125
safe-safe,15,26,0.92578125
safe-safe,15,27,0.9453125
safe-safe,15,28,0.94921875
safe-safe,15,29,0.94921875
safe-safe,15,30,0.953125
safe-safe,15,31,0.91015625
safe-safe,15,32,0.59375
safe-safe,16,1,0.984375
safe-safe,16,2,0.9765625
safe-safe,16,3,0.97265625
safe-safe,16,4,0.96484375
safe-safe,16,5,0.953125
safe-safe,16,6,0.96875
safe-safe,16,7,0.95703125
safe-safe,16,8,0.9375
safe-safe,16,9,0.93359375
safe-safe,16,10,0.91796875
safe-safe,16,11,0.9140625
safe-safe,16,12,0.921875
safe-safe,16,13,0.890625
safe-safe,16,14,0.7421875
safe-safe,16,15,0.71875
safe-safe,16,16,0.62890625
safe-safe,16,17,0.56640625
safe-safe,16,18,0.484375
safe-safe,16,19,0.59765625
safe-safe,16,20,0.75390625
safe-safe,16,21,0.7734375
safe-safe,16,22,0.87109375
safe-safe,16,23,0.859375
safe-safe,16,24,0.87890625
safe-safe,16,25,0.90625
safe-safe,16,26,0.92578125
safe-safe,16,27,0.9453125
safe-safe,16,28,0.94921875
safe-safe,16,29,0.94140625
safe-safe,16,30,0.9375
safe-safe,16,31,0.8671875
safe-safe,16,32,0.609375
safe-safe,17,1,0.99609375
safe-safe,17,2,0.9921875
safe-safe,17,3,0.98828125
