category,pair_id,layer,cosine_sim
unsafe-unsafe,7,12,0.83984375
unsafe-unsafe,7,13,0.86328125
unsafe-unsafe,7,14,0.79296875
unsafe-unsafe,7,15,0.76953125
unsafe-unsafe,7,16,0.6953125
unsafe-unsafe,7,17,0.69140625
unsafe-unsafe,7,18,0.6875
unsafe-unsafe,7,19,0.77734375
unsafe-unsafe,7,20,0.7421875
unsafe-unsafe,7,21,0.75
unsafe-unsafe,7,22,0.83203125
unsafe-unsafe,7,23,0.78515625
unsafe-unsafe,7,24,0.8046875
unsafe-unsafe,7,25,0.83984375
unsafe-unsafe,7,26,0.88671875
unsafe-unsafe,7,27,0.91015625
unsafe-unsafe,7,28,0.921875
unsafe-unsafe,7,29,0.9296875
unsafe-unsafe,7,30,0.94140625
unsafe-unsafe,7,31,0.90625
unsafe-unsafe,7,32,0.73046875
unsafe-unsafe,8,1,0.99609375
unsafe-unsafe,8,2,0.98828125
unsafe-unsafe,8,3,0.98046875
unsafe-unsafe,8,4,0.96875
unsafe-unsafe,8,5,0.96875
unsafe-unsafe,8,6,0.9765625
unsafe-unsafe,8,7,0.95703125
unsafe-unsafe,8,8,0.93359375
unsafe-unsafe,8,9,0.91015625
unsafe-unsafe,8,10,0.8671875
unsafe-unsafe,8,11,0.859375
unsafe-unsafe,8,12,0.85546875
unsafe-unsafe,8,13,0.89453125
unsafe-unsafe,8,14,0.82421875
unsafe-unsafe,8,15,0.70703125
unsafe-unsafe,8,16,0.7578125
unsafe-unsafe,8,17,0.75390625
unsafe-unsafe,8,18,0.7578125
unsafe-unsafe,8,19,0.80078125
unsafe-unsafe,8,20,0.75
unsafe-unsafe,8,21,0.7265625
unsafe-unsafe,8,22,0.75390625
unsafe-unsafe,8,23,0.7421875
unsafe-unsafe,8,24,0.73828125
unsafe-unsafe,8,25,0.765625
unsafe-unsafe,8,26,0.82421875
unsafe-unsafe,8,27,0.828125
unsafe-unsafe,8,28,0.84375
unsafe-unsafe,8,29,0.83984375
unsafe-unsafe,8,30,0.8671875
unsafe-unsafe,8,31,0.796875
unsafe-unsafe,8,32,0.68359375
